                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0472,                 1.0346,                0.52845,                0.13582,                0.21661,                0.07964,                 0.0337,                0.75644,                 1.1078,                0.37112,             6.8508e-05,             9.9941e-06,             9.9941e-06
                      2,                0.87628,                0.94834,                 0.4188,                0.14694,                0.25465,                0.10008,                0.04442,                0.72364,                 1.0899,                0.34755,              9.961e-06,              9.961e-06,              9.961e-06
                      3,                 0.8485,                0.95535,                 0.4055,                0.17141,                0.26147,                0.11562,                0.05183,                0.70804,                 1.0897,                  0.337,             9.8445e-06,             9.8445e-06,             9.8445e-06
                      4,                0.82564,                0.96489,                0.39058,                0.17846,                 0.2775,                0.12805,                0.05783,                0.69276,                 1.0956,                0.32555,             9.6524e-06,             9.6524e-06,             9.6524e-06
                      5,                0.82126,                0.95932,                0.38691,                0.18382,                0.28523,                0.13665,                   0.06,                0.69538,                 1.0816,                0.32966,             9.3877e-06,             9.3877e-06,             9.3877e-06
                      6,                0.81229,                 0.9577,                 0.3834,                0.19519,                0.28531,                0.14532,                0.06648,                0.68455,                 1.0749,                0.32262,             9.0546e-06,             9.0546e-06,             9.0546e-06
                      7,                0.80189,                0.95972,                0.37681,                0.20824,                0.29845,                0.15631,                0.07065,                0.67821,                 1.0704,                0.31676,             8.6584e-06,             8.6584e-06,             8.6584e-06
                      8,                0.79304,                0.96004,                0.37053,                0.20786,                0.30769,                0.15515,                0.06962,                 0.6803,                 1.0674,                0.31945,             8.2052e-06,             8.2052e-06,             8.2052e-06
                      9,                0.78866,                 0.9573,                0.36581,                 0.2169,                0.31139,                0.16556,                0.07483,                 0.6726,                 1.0698,                0.31371,             7.7023e-06,             7.7023e-06,             7.7023e-06
                     10,                0.78209,                0.96138,                0.36354,                0.21975,                0.31479,                0.16816,                0.07703,                0.66348,                 1.0738,                0.30787,             7.1576e-06,             7.1576e-06,             7.1576e-06
                     11,                0.77689,                0.95971,                0.36066,                0.23166,                0.32053,                0.18236,                0.08422,                0.65929,                 1.0639,                0.30584,             6.5796e-06,             6.5796e-06,             6.5796e-06
                     12,                0.77508,                0.95617,                0.35659,                0.23264,                0.32973,                0.18521,                0.08605,                0.65262,                 1.0725,                0.30469,             5.9775e-06,             5.9775e-06,             5.9775e-06
                     13,                0.76815,                0.95886,                0.35599,                0.23761,                0.33092,                0.18895,                0.08775,                0.65599,                  1.064,                0.30389,             5.3608e-06,             5.3608e-06,             5.3608e-06
                     14,                0.76601,                0.95646,                0.35204,                0.24053,                 0.3364,                0.19244,                0.08877,                0.65341,                 1.0674,                0.30296,             4.7392e-06,             4.7392e-06,             4.7392e-06
                     15,                 0.7612,                 0.9574,                0.35186,                0.24635,                0.33629,                0.19405,                0.08957,                 0.6542,                 1.0604,                 0.3028,             4.1225e-06,             4.1225e-06,             4.1225e-06
                     16,                0.61039,                  1.074,                0.29438,                0.25171,                0.34392,                0.20215,                0.09326,                0.64773,                 1.0555,                0.29937,             3.5204e-06,             3.5204e-06,             3.5204e-06
                     17,                0.60587,                 1.0737,                0.29154,                0.25551,                 0.3493,                0.20591,                0.09594,                0.64292,                 1.0569,                0.29581,             2.9424e-06,             2.9424e-06,             2.9424e-06
                     18,                0.60183,                 1.0723,                0.28697,                0.25642,                0.35299,                0.20838,                0.09624,                 0.6412,                 1.0585,                0.29317,             2.3977e-06,             2.3977e-06,             2.3977e-06
                     19,                0.60091,                 1.0702,                0.28299,                0.25961,                0.34754,                0.21071,                 0.0975,                0.64314,                 1.0555,                 0.2959,             1.8948e-06,             1.8948e-06,             1.8948e-06
