                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94687,                0.99924,                 0.4491,                0.19359,                 0.2884,                0.13941,                0.06414,                0.65472,                 1.1164,                 0.3054,             6.8508e-05,             9.9941e-06,             9.9941e-06
                      2,                0.77587,                0.97256,                0.35341,                0.20892,                0.31612,                0.15864,                0.07369,                0.64444,                 1.0906,                0.30062,             9.9248e-06,             9.9248e-06,             9.9248e-06
                      3,                0.76224,                0.97195,                0.35055,                0.22523,                0.32101,                0.17457,                 0.0809,                0.63524,                 1.0998,                0.29239,             9.7015e-06,             9.7015e-06,             9.7015e-06
                      4,                0.74708,                0.97713,                0.34188,                0.22508,                0.35007,                 0.1827,                0.08631,                0.62814,                 1.0945,                0.29339,             9.3368e-06,             9.3368e-06,             9.3368e-06
                      5,                0.74715,                0.97224,                0.34178,                0.24036,                0.34494,                0.19555,                0.09071,                0.63297,                 1.0781,                 0.2926,             8.8419e-06,             8.8419e-06,             8.8419e-06
                      6,                 0.7425,                0.96752,                 0.3411,                0.25313,                0.34063,                0.20437,                0.09533,                0.62824,                 1.0757,                0.29396,             8.2318e-06,             8.2318e-06,             8.2318e-06
                      7,                 0.7383,                0.96371,                0.33846,                0.26603,                 0.3543,                0.21637,                0.10181,                0.61999,                 1.0775,                0.28872,              7.525e-06,              7.525e-06,              7.525e-06
                      8,                0.73086,                 0.9651,                 0.3351,                0.27662,                0.35843,                0.23004,                0.10841,                0.61997,                 1.0701,                0.28911,              6.743e-06,              6.743e-06,              6.743e-06
                      9,                0.58198,                 1.0743,                0.28169,                0.28843,                0.36046,                0.23828,                0.11156,                 0.6144,                 1.0636,                 0.2862,             5.9096e-06,             5.9096e-06,             5.9096e-06
                     10,                0.57704,                 1.0657,                0.27225,                0.29107,                0.35809,                 0.2411,                0.11316,                0.61917,                 1.0547,                0.28651,               5.05e-06,               5.05e-06,               5.05e-06
                     11,                0.57471,                 1.0617,                0.27185,                 0.2929,                0.36553,                0.24812,                0.11657,                0.61229,                 1.0582,                0.28289,             4.1904e-06,             4.1904e-06,             4.1904e-06
                     12,                0.57455,                 1.0547,                0.27169,                0.29998,                0.37178,                0.25296,                0.11962,                0.60916,                  1.058,                0.28246,              3.357e-06,              3.357e-06,              3.357e-06
                     13,                0.57119,                  1.054,                0.26789,                0.30522,                0.37162,                0.25792,                0.12206,                 0.6067,                 1.0582,                0.28116,              2.575e-06,              2.575e-06,              2.575e-06
                     14,                 0.5723,                 1.0476,                0.26929,                 0.3089,                0.37473,                 0.2622,                0.12293,                0.61167,                 1.0491,                0.28416,             1.8682e-06,             1.8682e-06,             1.8682e-06
                     15,                 0.5729,                 1.0444,                0.26999,                0.31698,                0.37265,                0.26537,                0.12496,                0.61153,                 1.0462,                0.28454,             1.2581e-06,             1.2581e-06,             1.2581e-06
                     16,                0.57319,                 1.0399,                0.26902,                0.31411,                 0.3767,                0.26781,                0.12575,                 0.6097,                 1.0474,                0.28299,             7.6317e-07,             7.6317e-07,             7.6317e-07
                     17,                0.56943,                 1.0465,                0.26905,                0.31279,                0.37107,                0.27219,                0.12732,                0.61026,                 1.0467,                0.28274,             3.9852e-07,             3.9852e-07,             3.9852e-07
                     18,                0.56817,                 1.0448,                0.26683,                0.31493,                0.37693,                0.27295,                 0.1281,                0.60963,                 1.0479,                0.28296,              1.752e-07,              1.752e-07,              1.752e-07
