epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.03413,0.01193,0.33642,0.11511,0.0004459752246328784,2034.2
1,frozen,,0.07316,0.03152,0.20085,0.18765,0.0004356942429338488,2394.9
2,frozen,,0.09675,0.04345,0.14546,0.23533,0.00040430018638372325,2754.5
3,frozen,,0.11962,0.05433,0.17873,0.24381,0.0003554027969267121,3113.9
4,frozen,,0.15731,0.06823,0.34072,0.24612,0.0002937884917310129,3474.0
5,frozen,,0.20526,0.08939,0.41899,0.24932,0.0002254885082812879,3832.8
6,frozen,,0.23498,0.10548,0.4462,0.27537,0.00015718852483156284,4192.3
7,frozen,,0.24583,0.10859,0.4546,0.29096,9.557421963586367e-05,4552.1
8,frozen,,0.25241,0.11277,0.45551,0.29856,4.667683017885243e-05,4910.8
9,frozen,,0.26042,0.11748,0.45959,0.29578,1.5282773628726842e-05,5268.9
10,frozen,,0.26026998549512304,0.11738380654541328,0.4566715210218719,0.2976370915386694,1.5282773628726842e-05,5302.2
0,full,,0.25158,0.10871,0.47617,0.28464,4.459752246328785e-05,5898.8
1,full,,0.31648,0.14353,0.51321,0.34852,4.356942429338488e-05,6447.2
2,full,,0.34774,0.16186,0.54191,0.36581,4.043001863837233e-05,6995.5
3,full,,0.37233,0.17138,0.56351,0.38576,3.554027969267121e-05,7545.6
4,full,,0.38828,0.17752,0.57277,0.39545,2.937884917310129e-05,8095.2
5,full,,0.39436,0.17688,0.57738,0.40394,2.254885082812879e-05,8644.2
6,full,,0.41088,0.19066,0.60039,0.40791,1.5718852483156285e-05,9195.3
7,full,,0.41268,0.19262,0.57328,0.42417,9.557421963586368e-06,9745.4
8,full,,0.41886,0.19449,0.58362,0.42065,4.667683017885243e-06,10294.0
9,full,,0.4191,0.19439,0.58067,0.42452,1.5282773628726846e-06,10841.0
10,full,,0.4179824977752201,0.19383708033837693,0.5828094562799653,0.41796334853797906,1.5282773628726846e-06,10873.5
